差,,一般,,好,,很好,,非常好,
0.506,0.638,0.176,0.263,0.304,0.401,0.497,0.596,0.473,0.638
0.885,0.943,0.612,0.743,0.379,0.494,0.779,0.868,0.874,0.931
0.608,0.755,0.547,0.674,0.317,0.398,0.629,0.723,0.709,0.813
0.74,0.817,0.136,0.243,0.473,0.544,0.687,0.785,0.458,0.546
0.328,0.447,0.102,0.163,0.519,0.679,0.491,0.588,0.58,0.689
0.415,0.552,0.387,0.484,0.353,0.529,0.756,0.828,0.916,0.967
0.593,0.689,0.295,0.372,0.218,0.385,0.665,0.743,0.71,0.889
0.229,0.386,0.355,0.508,0.457,0.562,0.563,0.669,0.559,0.752
0.567,0.784,0.495,0.678,0.517,0.773,0.557,0.682,0.588,0.677
0.715,0.793,0.258,0.485,0.658,0.746,0.687,0.813,0.442,0.566
0.316,0.423,0.482,0.641,0.716,0.811,0.632,0.698,0.524,0.609
0.338,0.48,0.247,0.367,0.575,0.688,0.6,0.7,0.61,0.702
0.422,0.562,0.429,0.504,0.468,0.588,0.612,0.688,0.623,0.718
0.359,0.448,0.488,0.563,0.333,0.524,0.803,0.868,0.516,0.633
0.613,0.687,0.425,0.516,0.47,0.605,0.789,0.897,0.731,0.838
0.443,0.539,0.259,0.412,0.509,0.709,0.545,0.632,0.537,0.621
0.77,0.899,0.355,0.42,0.563,0.664,0.492,0.563,0.662,0.75
0.101,0.176,0.225,0.342,0.188,0.343,0.562,0.666,0.499,0.577
0.554,0.645,0.864,0.926,0.385,0.484,0.487,0.586,0.701,0.787
0.37,0.48,0.442,0.617,0.162,0.238,0.634,0.738,0.859,0.941
0.863,0.928,0.402,0.594,0.606,0.763,0.457,0.596,0.519,0.612
0.926,0.974,0.19,0.355,0.408,0.532,0.624,0.778,0.62,0.723
0.254,0.397,0.398,0.679,0.602,0.678,0.532,0.601,0.362,0.45
0.844,0.925,0.158,0.279,0.328,0.412,0.61,0.695,0.58,0.651
0.422,0.59,0.484,0.613,0.534,0.616,0.357,0.453,0.654,0.734
0.146,0.237,0.156,0.281,0.426,0.53,0.659,0.742,0.944,0.977
0.819,0.918,0.424,0.537,0.483,0.594,0.606,0.736,0.615,0.72
0.439,0.539,0.259,0.39,0.334,0.418,0.502,0.587,0.784,0.867
0.778,0.887,0.601,0.743,0.559,0.647,0.482,0.546,0.441,0.533
0.521,0.675,0.223,0.379,0.632,0.701,0.547,0.622,0.759,0.853
0.253,0.382,0.549,0.679,0.475,0.579,0.508,0.606,0.593,0.68
0.29,0.472,0.316,0.43,0.627,0.731,0.74,0.863,0.768,0.86
0.427,0.5,0.24,0.37,0.303,0.516,0.585,0.663,0.565,0.72
0.228,0.32,0.302,0.43,0.635,0.721,0.575,0.639,0.646,0.736
0.502,0.612,0.391,0.566,0.621,0.708,0.647,0.758,0.522,0.633
